headline,category
India Women vs Australia Women 1st T20I ​Live Cricket Score: IND to take AUS in Sydney,sports
When Shoaib Malik made MS Dhoni wait for a photoshoot; and why Sehwag and Uthappa were chosen for a tie-breaking bowl-out,sports
"Colombo weather update today, India vs Pakistan T20 World Cup 2026: Will rain affect IND-PAK match today?",sports
"Sindhu, Srikanth, and the All England question: Gopichand on its relevance and India’s hopes",sports
"India vs Pakistan Today Match Playing 11, T20 World Cup 2026: Will Kuldeep Yadav get nod for IND vs PAK in Colombo?",sports
"West Indies vs Nepal LIVE Score, T20 World Cup 2026: Chase sends Gulshan Jhan home; NEP slump to 73/6",sports
India vs Pakistan T20 World Cup Weather Pitch Report Live: Will there be handshakes during IND vs PAK game,sports
"Para Badminton World Championships: Double delight for Pramod Bhagat, wins record sixth singles world title",sports
Why the multi-format tour of Australia is the real test for Harmanpreet Kaur’s India,sports
T20 World Cup: Aiden Markram’s stylish 86 powers South Africa’s dominant seven-wicket win over New Zealand,sports
Four goals in six minutes: Indian hockey team’s collapse against Belgium exposes a deeper malaise,sports
"‘Very easy’ to manage 41-year-old Cristiano Ronaldo, says Portugal manager Roberto Martinez",sports
"Jasprit Bumrah vs Sahibzada Farhan, Ishan Kishan vs Shaheen Afridi and other key matchups that will decide India vs Pakistan",sports
"T20 World Cup: Pakistan have a trump card in Usman Tariq, India have a plan",sports
"India vs Pakistan, T20 World Cup: Clarity on handshakes awaited as neutral Colombo gears up for cricket and some rain",sports
‘We’d rather not start amazing and finish amazing than start amazing and finish bad’: Harry Brook wants England to peak at right time in T20 World Cup,sports
Pakistan spinners face their worst nightmare: Hardik Pandya,sports
IND vs PAK: What happened when India and Pakistan last played a T20 in Colombo?,sports
T20 World Cup: Tom Banton comes of age with under-pressure 63 as England edge Scotland by 5 wickets,sports
"IND vs PAK T20 World Cup 2026: Match Date, Time, Venue, Playing 11, Squads, Head-to-Head, Streaming Details",sports
"IND vs PAK: Suryakumar confirms Abhishek Sharma’s availability, on shaking hands with Pakistan, says ‘wait for 24 hours’",sports
T20 World Cup 2026 Points Table Update: SA beat NZ to qualify for Super 8; England record second win in Group C in Kolkata,sports
IND vs PAK Colombo R Premadasa Stadium Pitch-Weather Report: Spin and rain threat loom before India vs Pakistan T20 World Cup match,sports
Wasim Akram urges ‘best medical care’ for Imran Khan: ‘I sincerely hope authorities take this seriously’,sports
"‘Someone who lost to the world No. 500’: After Davis Cup loss to India, bitter feud erupts in Dutch tennis",sports
"New Zealand vs South Africa Highlights, T20 World Cup 2026: Aiden Markram, Marco Jansen shine in SA’s 7-wicket win over NZ",sports
February 15 again: When Virat Kohli became India’s first World Cup centurion vs Pakistan in 2015,sports
‘I Want Rain’: Former Pakistan cricketer’s wish ahead of his team’s T20 World Cup showdown with India,sports
"Usman Tariq will be our trump card, says Pakistan captain Salman Agha ahead of India match in T20 World Cup",sports
"ISL 2025-26 Full Schedule: Fixtures, Complete Match List, Time Table, Match Dates, Timings, Venues",sports
Harmanpreet Kaur pushes for more Tests as confident India face Sophie Molineux’s Australia,sports
"‘Make us work more, but at least increase prize money’: Stefanos Tsitsipas slams ATP over extended Masters 1000s schedule",sports
Mohun Bagan Super Giant vs Kerala Blasters Live Streaming: When and where to watch ISL 2025/26 opening match,sports
"England vs Scotland highlights, T20 World Cup 2026: ENG beat SCO by 5-wickets in Kolkata",sports
"Rahul Dravid, Anil Kumble, Shantha Rangaswamy to have stands named after them at M Chinnaswamy Stadium",sports
"This weekend, watch how cricket is vanishing from India-Pakistan cricket rivalry",sports
‘A horror nightmare’: How Arjun Erigaisi’s ‘pawn war’ crushed Magnus Carlsen in a wild Freestyle World Championship upset,sports
Antonelli leads Russell as Mercedes tops the week’s final day of F1 testing in Bahrain,sports
"Norway’s Klaebo makes history on skis, ties all-time Winter Olympics gold record",sports
"Organizers say 2027 Africa Cup will take place as planned in Tanzania, Uganda and Kenya",sports
Peter Crouch on Arsenal’s Eberechi Eze: ‘Couldn’t get on the ball’,sports
Mohammed Siraj rates Arshdeep Singh’s ‘Siuuu’ celebration: ‘Zyada jump le liya…’,sports
"ISL returns: League stripped to bare bones but fans, players find solace in end of uncertainty",sports
India’s TT coach Massimo Costantini’s mantra for success: ‘Medals will only come when Indian players are convinced there’s no expectation’,sports
"Why India being thrashed 8-0 by Argentina is rude wake-up call ahead of World Cup, Asian Games",sports
"Calcutta Cup SCO vs ENG rivalry heats up: ‘Hopefully after we’ve beaten England, it’s over to the rugby lads to get it done as well’",sports
"Aryansh from Delhi, Junaid from Multan and Sohaib from Gaya: UAE’s match-winners against Canada",sports
Snehit Suravajjula saves six match points to reach pre-quarters; Indian finalist assured in mixed doubles,sports
When ‘MS Dhoni: The Untold Story’ inspired Usman Tariq to leave his job as salesman and pursue cricket: ‘This film…convinced me that I can also do the same’,sports
"Craig Burley on Arsenal: ‘They just keep throwing City a bone, don’t they?’",sports
"India likely to keep their dominance over Pakistan predicts Michael Clarke: ‘Conversation around whether they would play the game or not, does not help anyone’",sports
"Prolific in the 18th over, expensive in 14th: When is Jasprit Bumrah at his most deceptive",sports
"Blessing Muzarabani, the boy who bowled without a shoe, knocked over Australia at T20 World Cup",sports
Pakistan spinners vs India: Why Ajantha Mendis backs Abrar Ahmed and Saim Ayub at R Premadasa Stadium,sports
Manchester United say they are ‘inclusive and welcoming’ amid storm over co-owner Jim Ratcliffe’s comments on immigrants,sports
Why is Sanju Samson failing? Sunil Gavaskar decodes batters’ technique: ‘Goes too deep…’,sports
‘Move away when Usman Tariq pauses’: Ashwin’s advice for Indian batsmen ahead of Pakistan clash,sports
"Not just ‘one bad day’, Australia haven’t really warmed up to T20 cricket",sports
How Zimbabwe out-bowled and out-batted Australia on a slow wicket at the Premadasa Stadium,sports
"Zimbabwe stun Australia by 23 runs, pull off first major upset of 2026 T20 World Cup",sports
"Used soft drink bottles being refilled as waste-management procedure, not for re-sale, says DDCA in response to viral video",sports
Sam and Tom Curran’s brother Ben replaces injured Brendan Taylor in Zimbabwe’s T20 World Cup squad,sports
RCB given Karnataka state government nod to play IPL 2026 matches at Bengaluru’s Chinnaswamy Stadium,sports
Will Varun Chakaravarthy unveil a new delivery against Pakistan? ‘Working on a few’,sports
ICC T20 World Cup: Ishan Kishan on his mindset since India comeback – ‘I’m a changed man’,sports
"Australia vs Zimbabwe highlights, T20 World Cup 2026: Blessing Muzarabani takes four wickets as Zimbabwe stun Australia in Colombo",sports
Magnus Carlsen at a World Championship: Everything you need to know about first official Freestyle Chess World Championship,sports
TT talent Ankur Bhattacharjee defeats World Championships (doubles) medallist Florian Bourrassaud at Chennai Star Contender,sports
Real Madrid hopes La Liga surge boosted by team dinner paid for by Vinícius and Mbappé,sports
"Ishan Kishan, Varun Chakarvarthy shine as India thrash Namibia by 93 runs despite middle-order struggles",sports
India thrashed 8-0 by Argentina: Harmanpreet Singh and Co concede 7 goals in first half from hell in Pro League match,sports
"T20 World Cup: Ishan Kishan, Hardik Pandya, and Varun Chakaravarthy shine as India thrash Namibia by 93 runs in New Delhi",sports
Italy cricket: ‘We are coming to Kolkata to shoot England down’,sports
Can Arjun Erigaisi beat Magnus Carlsen to become Freestyle World Champion?,sports
Aishwary Pratap Singh Tomar sets world record in revamped 50m rifle 3P at Asian Shooting Championships,sports
Can Arjun Erigaisi beat Magnus Carlsen to become Freestyle World Champion?,sports
Aishwary Pratap Singh Tomar sets world record in revamped 50m rifle 3P at Asian Shooting Championships,sports
"Why Ishan Kishan has displaced Sanju Samson as opener: Technical versatility, mental fortitude",sports
Nostalgia | ‘Sade ghar Sir Garfield Sobers paida hoya hai’: The day Yograj Singh knew Yuvraj was special,sports
What’s wrong with Sanju Samson? The answer is in his feet,sports
"T20 World Cup: Pizzeria worker Crishan Kalugamage, Mosca brothers give Italy first-ever World Cup win, a 10-wicket saunter against Nepal",sports
"8 balls, 3 sixes, 1 four: Sanju Samson’s blazing T20 World Cup debut ends in second over during India vs Namibia match",sports
"Why Pakistan are banking on Sahibzada Farhan to dismantle Jasprit Bumrah: 51 runs, strike rate of 150, three sixes, 0 dismissals",sports
"The good length delivery is key to taking wickets in T20 cricket, Varun Chakaravarthy’s success proves it",sports
Afghanistan’s Mohammad Nabi fined 15% & handed a demerit point for ICC code of conduct breach during South Africa clash,sports
"Norway Chess: Koneru Humpy to join Divya Deshmukh, Gukesh, Praggnanandhaa at Oslo event",sports
"T20 World Cup: How Pavan Rathnayake, Dasun Shanaka combine to help Sri Lanka demolish Oman by 105 runs in Pallekele",sports
Ukraine’s Vladyslav Heraskevych disqualified from Winter Olympics over helmet tribute to war victims,sports
"Why the 3×15 scoring system in badminton, up for vote on April 25, is a double-edged sword for India but a downer for the sport",sports
"India vs Namibia highlights, T20 World Cup 2026: IND beat NAM by 93 runs in Delhi",sports
"ICC T20 World Cup: Meet Crishan Kalugamage, the pizza-maker in the Italian team – hailing from Sri Lanka",sports
"T20 World Cup 2026, India vs Namibia Live Cricket Streaming: How to Watch IND vs NAM Match Today Online",sports
"Nepal vs Italy, T20 World Cup 2026 Highlights: Italy beat Nepal by 10 wickets, record first ever win in T20 World Cup",sports
Manchester United co-owner Jim Ratcliffe claims ‘UK has been colonised by immigrants’,sports
Pakistan’s X-factor: A multifaceted spin bowling unit that can trouble India’s big-hitters,sports
‘Sometimes you’ve got to throw stats out the window’: Shai Hope backs Sherfane Rutherford after match-turning 76 against England at T20 World Cup,sports
‘We were probably a little bit careful’: Harry Brook reacts to England’s 30-run loss to West Indies in T20 World Cup,sports
India vs Namibia T20 World Cup 2026 Match Playing 11: Will Abhishek Sharma be fit to play in IND vs NAM clash in Delhi?,sports
Afghanistan coach Jonathan Trott after double Super Over heartbreak vs SA: ‘It’s just really devastating for the guys’,sports
Real Madrid and UEFA reach agreement that formally ends divisive Super League project,sports
"India vs Namibia T20 World Cup 2026: Match Date, Time, Venue, Playing 11, Squads, Head-to-Head & Streaming Details",sports
"ICC T20 World Cup: Ahead of Pakistan encounter, Namibia game offers India chance to rest players and test bench strength",sports
"Asian Shooting Championships: In quest to reach potential, Anish Bhanwala takes the rough with the smooth",sports
‘We are very excited to play’: Tilak Varma on India vs Pakistan T20 World Cup match on Feb 15,sports
"‘To win in front of 35,000 would be special’: Italy ready for Nepal wave at Wankhede",sports
ICC T20 World Cup | South Africa’s Double Super Over win against Afghanistan: A game of mistakes that became an all-time classic,sports
Namibia captain bristles about not getting night training session before India match: ‘Make of that what you want’,sports
"Before Pakistan game, India must study Australia’s batting template at the Premadasa",sports
"Abhishek Sharma discharged from hospital, call yet to be taken if he will play India vs Namibia fixture",sports
‘The whole thing is about this guy getting his haircut’: Wayne Rooney slams Manchester United super fan for viral challenge overshadowing team’s efforts,sports
"Praggnanandhaa, 6 other top grandmasters issue urgent plea as 2026 chess calendar ‘clash’ turns concrete",sports
"IND vs NAM T20 World Cup 2026, Delhi Arun Jaitley Stadium Pitch-Weather Report: What will the conditions be like for India vs Namibia match?",sports
‘You could bully them back in the day’: Wayne Rooney reveals why Mikel Arteta’s Arsenal is finally ready to outlast Man City,sports
‘I’ve lost so much weight today’: Lungi Ngidi on South Africa’s stressful Super Overs win vs Afghanistan in T20 World Cup,sports
T20 World Cup | Quick Comment: Why winning trial-by-fire match against Afghanistan makes South Africa favourites,sports
"England vs West Indies Highlights, T20 World Cup 2026: Sherfane Rutherford, Gudakesh Motie shine as WI beat ENG by 30 runs",sports
Tottenham Hotspur axe Thomas Frank after Newcastle disaster: Spurs hunt for 6th manager since Pochettino as relegation fears grow,sports
T20 World Cup: Australia take the field against Ireland with just 12 fit players as captain Mitchell Marsh ruled out,sports
3 sixes in 3 balls: How Rahmanullah Gurbaz almost stole a ‘double Super Over’ thriller from South Africa,sports
Winter Olympics: Sturla Holm Laegreid pauses interview after bronze medal to admit to cheating on his partner,sports
Australia vs Ireland T20 World Cup higlights: AUS beat IRE by 67 runs in Colombo,sports
‘Even football doesn’t allow it’: Pakistan’s Usman Tariq has ex-cricketers from India debating validity of his action,sports
Usman Tariq on bowling to India batsmen: I think there will be extra pressure on them,sports
"India match is not a big deal, says Pakistan opener Sahibzada Farhan",sports
"South Africa vs Afghanistan, T20 World Cup 2026: Gurbaz hits three straight sixes but Afghanistan fall short by four runs in Double Super Over thriller",sports
"India match is not a big deal, says Pakistan opener Sahibzada Farhan",sports
"South Africa vs Afghanistan, T20 World Cup 2026: Gurbaz hits three straight sixes but Afghanistan fall short by four runs in Double Super Over thriller",sports
T20 World Cup: Abhishek Sharma doubtful for India vs Namibia; Sanju Samson likely to get chance,sports
"Move over, Beth Harmon: New documentary on Judit Polgar details the gambits that shaped a queen",sports
"T20 World Cup: Before India clash, Pakistan get in the groove with comprehensive win over USA",sports
"Axar Patel – the trusted deputy, and man for every season and situation",sports
"Delhi to have all-new mega cricket stadium: Okhla, Dwarka, Narela and Rohini in race",sports
T20 World Cup: Why Babar Azam and his Baba Adam-era strike rates are a headache for Pakistan,sports
‘People are dropping things when you shoot’: ISSF rule tweaks draw Indian ire at Asian Shooting Championships as 50m 3P shooters struggle to adapt,sports
Alishan Sharafu: The karate kid who chose cricket and conquered the Black Caps,sports
‘Axar Patel ko aur kya karna hoga to get what he deserves?’: Aakash Chopra slams BCCI for giving allrounder Grade C contract in latest list,sports
"FIH Pro League hockey: In a season of transition, promising drag-flicker Amandeep Lakra steps into focus",sports
"T20 World Cup: Finn Allen-Tim Seifert take down UAE in violent onslaught, serving stark warning to New Zealand’s upcoming opponents",sports
"‘Don’t worry, mom. I’ll take care of the water’: The night that made Rovman Powell",sports
‘Spirit of cricket has prevailed’: Shahid Afridi says Pakistan govt ‘protected sanctity of T20 World Cup’ after allowing match vs India,sports
Australia’s power-packed batting unit must deliver in absence of Cummins and Hazlewood,sports
"Tim Seifert, Finn Allen smash T20 World Cup record as New Zealand coast to 10-wicket win over UAE",sports
"Glad that India vs Pakistan fixture is back on, team is trying to stay away from politics: Ryan Ten Doeschate",sports
"Namibia ready for big-stage India test at T20 World Cup: ‘To play against best team in world under lights in front of 50,000 people’",sports
"Colombo weather update today, Pakistan vs USA T20 World Cup 2026: Will rain affect crucial encounter at SSC?",sports
"Why Surya is good not only for India, but also the mercurial coach Gautam Gambhir: ‘You want to stay switched on, but you also need to be relaxed’",sports
‘I expected people to mock me’: Liam Rosenior laughs off ridicule as Chelsea surge under new head coach,sports
T20 World Cup: Bas de Leede exorcises Delhi demons in all-round display as Netherlands cruise past Namibia by 7 wickets,sports
"Pakistan vs USA Highlights, T20 World Cup 2026: PAK avenge 2024 loss, beat USA by 32 runs in Colombo",sports
Jos Buttler on Vaibhav Sooryavanshi: ‘He is the best player I have ever seen’,sports
‘Total failure of ICC’: Mohammad Hafeez on politics that played out before IND vs PAK was back on track,sports
"New Zealand vs UAE HIGHLIGHTS, T20 World Cup 2026: Allen, Seifert power NZ to 10-wicket win with record-breaking stand",sports
