headline,category
News,politics
News,politics
TIPRA Motha chief meets Congress leaders as BJP eyes pact,politics
"LS polls: 'Ahmed Patel's legacy won't go in vain,' Mumtaz says after Cong announces to give late father's seat to AAP",politics
"Buzz over Navjot Singh Sidhu's return to BJP, Gurdaspur ticket for Yuvraj Singh",politics
"Victory of voters: Sharad Pawar after Supreme Court ruling on his faction's name, symbol",politics
"NCP row: Sharad faction can use 'NCP-Sharadchandra Pawar' name till further orders, SC says",politics
Jharkhand MLAs land in Hyderabad for 'safekeeping' till floor test,politics
"' A little pressure and he takes U-turn, we don't need him': Rahul Gandhi takes dig at Nitish Kumar",politics
Why Nitish Kumar's alliance with BJP may help JD(U) in Lok Sabha elections,politics
Congress vs regional parties in INDIA bloc: Nitish Kumar becomes first leader to walk out of opposition alliance,politics
"INDIA bloc failed my expectations, Nitish Kumar says after resigning as Bihar CM: Latest developments",politics
'Thank you Tejashwi': RJD puts out ads in Bihar newspapers amid ongoing political crisis,politics
"BJP as partner, Nitish Kumar may take oath as CM for record 9th time",politics
"Nitish's imminent exit, Congress-TMC deadlock leave INDIA gasping",politics
Bihar CM Nitish Kumar could be back in NDA fold by Monday,politics
"'Nitish Kumar set to dump RJD, may take oath as Bihar chief minister again next week with BJP's support'",politics
"Bihar CM Nitish Kumar hits out at UPA governments & dynastic politics, praises PM Narendra Modi",politics
"'If possible, BSP can ... ': Mayawati rules out pre-poll alliance for 2024 Lok Sabha elections",politics
No rest for Maharashtra Speaker as January 31 deadline for NCP case looms,politics
"Sena row: Possible some Maharashtra MLAs from both sides may get disqualified or none at all, legal experts say",politics
"Now, Nitish Kumar's JD(U) flexes muscles, says will not talk to Congress on seat sharing in Bihar",politics
Congress puts seat talks with allies on fast track,politics
"Adhir Ranjan Chowdhury fumes at 2-seat offer, TMC hits back",politics
"Often, you wait for coronation and get exiled, says Shivraj Singh Chouhan",politics
'Prime minister of ideas': JD(U)'s message to INDIA bloc after Nitish Kumar returns as party chief,politics
2024 Lok Sabha elections: Why road ahead for INDIA bloc could be bumpy,politics
Rahul Gandhi raises caste census pitch again: Will it help Congress in 2024 Lok Sabha elections?,politics
Ram Mandir inauguration: Congress leader Sam Pitroda says 'don't mix religion with politics'; BJP accuses grand old party of appeasement politics,politics
"'Cannot fool Indians': BJP makes light of Rahul Gandhi's 'nyay yatra', cites PM Modi's 'real nyay'",politics
"Looking for headstart, BJP may finalise Lok Sabha tickets early",politics
Pre-planned strategy from Treasury benches: Priyanka Chaturvedi on suspension of MPs,politics
Congress take swipe at BJP for not announcing CMs in three states yet,politics
'BJP will not be able to retain power at Centre if ... ': Mamata Banerjee's message after Congress's defeat in assembly elections,politics
MP election results: Kamal Nath wilts in face of lotus onslaught,politics
'Unable to win on its own': Congress faces barbs from allies for ignoring INDIA parties in assembly elections,politics
"Cash-for-query case: Mamata Banerjee breaks silence, says 'Mahua Moitra's expulsion being planned, but ... '",politics
"Congress govt in Karnataka 'as good as dead', charges BJP veteran Yediyurappa",politics
BJP not opposed to caste census but won't make a hasty move: Amit Shah,politics
2024 Lok Sabha elections: Why Congress strategy with focus on Karnataka could fail,politics
"'Govt using senior officers for propaganda not right', says Congress chief Mallikarjun Kharge",politics
Question is about corruption & criminality: BJP MP Nishikant Dubey hits back at Mahua Moitra over degree jab,politics
"'If Congress behaves like this ... ': Snubbed in Madhya Pradesh, Akhilesh Yadav has a piece of advice for grand old party",politics
"Alliance trouble for INDIA parties: Akhilesh Yadav upset over snub in MP, warns Congress of same treatment in UP",politics
JD(S)-BJP alliance: Deve Gowda sacks rebel leader CM Ibrahim as party's Karnataka president; makes his son Kumaraswamy ad-hoc state chief,politics
'Congress in many ways a family-run party': Shashi Tharoor blunts Rahul Gandhi's 'dynasty' attack on BJP,politics
Congress chief Kharge alleges Modi govt using Army 'politically' for elections,politics
CM Shinde is a guest for only a few days: Saamana,politics
"'Will not go with BJP in Karnataka': Senior JD(S) leader revolts against Deve Gowda's alliance decision, hints at possible split in party",politics
Corruption is in DNA of Congress: BJP president JP Nadda,politics
BJP's political power shrinking in many parts of country: Sharad Pawar,politics
"Farmers in Karnataka have incurred loss of Rs 30,000 crore due to drought: Siddaramaiah",politics
1,politics
2,politics
3,politics
4,politics
5,politics
